state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
Florida,FL 528,41884,Exit 1,EXIT 1,International Drive,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%201/41884,28.420917,-81.458572,http://maps.google.com/maps?t=m&q=loc:28.420917+-81.458572,Eastbound
Florida,FL 528,41885,Exit 2,EXIT 2,Universal Boulevard / Orangewood Boulevard,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%202/41885,28.420968,-81.449598,http://maps.google.com/maps?t=m&q=loc:28.420968+-81.449598,Eastbound
Florida,FL 528,41886,Exit 3A,EXIT 3A,CR 423 south (John Young Parkway),"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%203A/41886,28.421104,-81.42881,http://maps.google.com/maps?t=m&q=loc:28.421104+-81.42881,Eastbound
Florida,FL 528,41887,Exit 3B,EXIT 3B,CR 423 north (John Young Parkway),"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%203B/41887,28.421821,-81.422788,http://maps.google.com/maps?t=m&q=loc:28.421821+-81.422788,Eastbound
Florida,FL 528,41888,Exit 4,EXIT 4,Turnpike / US 17 / US 92 / US 441 (Orange Blossom Trail / SR 500 / SR 600),"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%204/41888,28.431052,-81.413373,http://maps.google.com/maps?t=m&q=loc:28.431052+-81.413373,Eastbound
Florida,FL 528,41889,Exit 8,EXIT 8,SR 482 (McCoy Road to Sand Lake Road) / Jetport Drive / Orange Avenue (CR 527),"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%208/41889,28.447053,-81.357599,http://maps.google.com/maps?t=m&q=loc:28.447053+-81.357599,Eastbound
Florida,FL 528,41890,Exit 9,EXIT 9,Tradeport Drive / Conway Road,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%209/41890,28.450727,-81.338279,http://maps.google.com/maps?t=m&q=loc:28.450727+-81.338279,Eastbound
Florida,FL 528,41891,Exit 11,EXIT 11,SR 436 north (Semoran Boulevard) – International Airport,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2011/41891,28.451309,-81.318331,http://maps.google.com/maps?t=m&q=loc:28.451309+-81.318331,Eastbound
Florida,FL 528,41892,Exit 12,EXIT 12,Goldenrod Road,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2012/41892,28.450456,-81.295131,http://maps.google.com/maps?t=m&q=loc:28.450456+-81.295131,Eastbound
Florida,FL 528,41893,Exit 13,EXIT 13,SR 15 (Narcoossee Road),"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2013/41893,28.448441,-81.270764,http://maps.google.com/maps?t=m&q=loc:28.448441+-81.270764,Eastbound
Florida,FL 528,41895,Exit 20,EXIT 20,International Corporate Park Boulevard,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2020/41895,28.451645,-81.167329,http://maps.google.com/maps?t=m&q=loc:28.451645+-81.167329,Eastbound
Florida,FL 528,41896,Exit 24,EXIT 24,Dallas Boulevard,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2024/41896,28.451468,-81.100071,http://maps.google.com/maps?t=m&q=loc:28.451468+-81.100071,Eastbound
Florida,FL 528,41897,Toll,TOLL BOOTH,Toll,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Toll/41897,28.451898,-81.063037,http://maps.google.com/maps?t=m&q=loc:28.451898+-81.063037,Eastbound
Florida,FL 528,41898,Exit 31,EXIT 31,SR 520,"Orlando, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2031/41898,28.452476,-80.984406,http://maps.google.com/maps?t=m&q=loc:28.452476+-80.984406,Eastbound
Florida,FL 528,41899,Exit 37,EXIT 37,"SR 407 to I-95 north – Kennedy Space Center, Titusville","Cocoa, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2037/41899,28.452696,-80.881367,http://maps.google.com/maps?t=m&q=loc:28.452696+-80.881367,Eastbound
Florida,FL 528,41901,Exit 45,EXIT 45,SR 524 (Clearlake Road) / Industry Road,"Cocoa, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2045/41901,28.40353,-80.773999,http://maps.google.com/maps?t=m&q=loc:28.40353+-80.773999,Eastbound
Florida,FL 528,41902,Exit 46,EXIT 46,"US 1 (SR 5) – Cocoa, Titusville","Cocoa, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2046/41902,28.400314,-80.75236,http://maps.google.com/maps?t=m&q=loc:28.400314+-80.75236,Eastbound
Florida,FL 528,41903,Exit 49,EXIT 49,"SR 3 – Merritt Island, Kennedy Space Center","Merritt Island, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2049/41903,28.40518,-80.709305,http://maps.google.com/maps?t=m&q=loc:28.40518+-80.709305,Eastbound
Florida,FL 528,41904,Exit 52,EXIT 52,Banana River Drive,"Merritt Island, Florida",https://www.iexitapp.com/Florida/FL%20528/Exit%2052/41904,28.405029,-80.666875,http://maps.google.com/maps?t=m&q=loc:28.405029+-80.666875,Eastbound
