state,highway,exit_id,title,exit_name,exit_description,exit_location,iexit_detail_link,latitude,longitude,google_maps_link,direction
New Mexico,I-25,18887,Exit 1,EXIT 1,University Ave,"Las Cruces, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%201/18887,32.282726,-106.737145,http://maps.google.com/maps?t=m&q=loc:32.282726+-106.737145,Northbound
New Mexico,I-25,18888,Exit 3,EXIT 3,Lohman Ave,"Las Cruces, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%203/18888,32.309883,-106.745925,http://maps.google.com/maps?t=m&q=loc:32.309883+-106.745925,Northbound
New Mexico,I-25,18889,Exit 6,EXIT 6,US-70 E; Alamogardo; Del Rey Blvd,"Las Cruces, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%206/18889,32.344991,-106.767422,http://maps.google.com/maps?t=m&q=loc:32.344991+-106.767422,Northbound
New Mexico,I-25,18890,Exit 9,EXIT 9,NM-320; Dona Ana,"Las Cruces, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%209/18890,32.387766,-106.805185,http://maps.google.com/maps?t=m&q=loc:32.387766+-106.805185,Northbound
New Mexico,I-25,18891,Exit 19,EXIT 19,Radium Springs,"Las Cruces, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2019/18891,32.492937,-106.900629,http://maps.google.com/maps?t=m&q=loc:32.492937+-106.900629,Northbound
New Mexico,I-25,18892,Rest Area,REST AREA,Rest Area,"Rincon, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Rest%20Area/18892,32.547991,-106.919864,http://maps.google.com/maps?t=m&q=loc:32.547991+-106.919864,Northbound
New Mexico,I-25,18893,US Border Patrol Checkpoint,INSPECTION STATION,US Border Patrol Checkpoint,"Rincon, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Inspection%20Station/18893,32.594327,-106.944051,http://maps.google.com/maps?t=m&q=loc:32.594327+-106.944051,Northbound
New Mexico,I-25,18894,Scenic Area,SCENIC AREA,Scenic Area,"Rincon, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Scenic%20Area/18894,32.612613,-106.953604,http://maps.google.com/maps?t=m&q=loc:32.612613+-106.953604,Northbound
New Mexico,I-25,53266,Exit 32,EXIT 32,County Road E071,"Rincon, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2032/53266,32.66993,-107.005761,http://maps.google.com/maps?t=m&q=loc:32.66993+-107.005761,Northbound
New Mexico,I-25,53267,Exit 35,EXIT 35,NM-140; Rincon,"Hatch, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2035/53267,32.676049,-107.056788,http://maps.google.com/maps?t=m&q=loc:32.676049+-107.056788,Northbound
New Mexico,I-25,18897,Exit 41,EXIT 41,NM-26 W; Hatch,"Hatch, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2041/18897,32.683372,-107.150525,http://maps.google.com/maps?t=m&q=loc:32.683372+-107.150525,Northbound
New Mexico,I-25,53268,Exit 51,EXIT 51,NM-546; Garfield; Salem,"Derry, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2051/53268,32.782539,-107.261626,http://maps.google.com/maps?t=m&q=loc:32.782539+-107.261626,Northbound
New Mexico,I-25,18899,Exit 59,EXIT 59,NM-187; Caballo; Percha; State Parks,"Caballo, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2059/18899,32.892041,-107.308389,http://maps.google.com/maps?t=m&q=loc:32.892041+-107.308389,Northbound
New Mexico,I-25,18900,Exit 63,EXIT 63,NM-152; Hillsboro,"Caballo, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2063/18900,32.950454,-107.315057,http://maps.google.com/maps?t=m&q=loc:32.950454+-107.315057,Northbound
New Mexico,I-25,18901,Truck Turnout,TURN OUT,Truck Turnout,"Caballo, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Truck%20Turnout/18901,32.998859,-107.318246,http://maps.google.com/maps?t=m&q=loc:32.998859+-107.318246,Northbound
New Mexico,I-25,18902,Exit 71,EXIT 71,Las Palomas,"Caballo, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2071/18902,33.060877,-107.308762,http://maps.google.com/maps?t=m&q=loc:33.060877+-107.308762,Northbound
New Mexico,I-25,18903,Exit 75,EXIT 75,I-25; Williamsburg; Truth or Consequences,"Williamsburg, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2075/18903,33.109415,-107.29978,http://maps.google.com/maps?t=m&q=loc:33.109415+-107.29978,Northbound
New Mexico,I-25,18904,Exit 79,EXIT 79,I-25 BUS; Truth or Consequences,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2079/18904,33.153168,-107.253413,http://maps.google.com/maps?t=m&q=loc:33.153168+-107.253413,Northbound
New Mexico,I-25,18905,US Border Patrol Checkpoint,INSPECTION STATION,US Border Patrol Checkpoint,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Inspection%20Station/18905,33.191096,-107.253065,http://maps.google.com/maps?t=m&q=loc:33.191096+-107.253065,Northbound
New Mexico,I-25,76906,Exit 83,EXIT 83,Elephant Butte Lake State Park,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2083/76906,33.217895,-107.255693,http://maps.google.com/maps?t=m&q=loc:33.217895+-107.255693,Northbound
New Mexico,I-25,18907,Exit 89,EXIT 89,Martin Ranch Road,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2089/18907,33.290905,-107.283394,http://maps.google.com/maps?t=m&q=loc:33.290905+-107.283394,Northbound
New Mexico,I-25,18908,Exit 92,EXIT 92,Mitchell Point,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%2092/18908,33.327359,-107.295242,http://maps.google.com/maps?t=m&q=loc:33.327359+-107.295242,Northbound
New Mexico,I-25,18909,Exit 100,EXIT 100,Red Rock,"Truth or Consequences, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Exit%20100/18909,33.445084,-107.240577,http://maps.google.com/maps?t=m&q=loc:33.445084+-107.240577,Northbound
New Mexico,I-25,58474,Rest Area,REST AREA,"Rest Area
          (MM: 114.0)","San Antonio, New Mexico",https://www.iexitapp.com/New%20Mexico/I-25/Rest%20Area/58474,33.619953,-107.139997,http://maps.google.com/maps?t=m&q=loc:33.619953+-107.139997,Northbound
